Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Instructor
React,nanodegree,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate,2 Weeks,4.7,1269,"React Component State,  React Router,  React Hooks,  JavaScript Functions,  Application State Management with Redux,  React-Redux Bindings,  React Component State,  Fetching Data,  React Native Basics,  Data Lifecycle Management,  Jest,  React-Redux Bindings,  React Design Patterns,  Software Testing","HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX) and Web forms",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicleâ€™s autonomous capabilities.,advanced,5 Weeks,,,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg
UX Designer,nanodegree,Design impactful user experiences for products in todayâ€™s digital world.,beginner,3 Weeks,4.7,1032,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4 Weeks,4.5,359,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png 
Data Engineering with Microsoft Azure ,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,4 Weeks,4.6,NaN,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines
","Experience with SQL, Python, Azure, and Github",https://pngimg.com/d/mark_zuckerberg_PNG36.png
AI Programming with Python,nanodegree,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebraâ€”the foundations for building your own neural network.",beginner,3 Weeks,4.7,1626,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Data Product Manager,nanodegree,Apply data science best practices to build products that deliver the right experience to the right usersâ€”at the right time.,intermediate,3 Weeks,4.3,220,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Prior Data Analysis & Product Management Experience Recommended,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Intermediate Python,nanodegree,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organizationâ€™s data success.",intermediate,2 Weeks,4.4,144,"Python, Object-oriented programming, Modular code, Python Package Index",Basic Python,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Growth Product Manager,nanodegree,"Lead experimentation and data-driven decision-making to drive products to the next level of scale, impact, and profitability.",intermediate,3 Weeks,4.5,50,"Acquisition Strategy,  Growth Loops,  Product Management,  Activation Metrics,  Growth Strategy,  Activation Strategy,  Product Monetization Strategy,  Product Monetization Metrics,  Premium Value,  Cohort Analysis,  Experiment Design,  Target Personas,  Customer Acquisition Cost,  User Journey Maps",Prior Product Management Experience recommended,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Front End Web Developer,nanodegree,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,intermediate,4 Weeks,4.6,1194,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-oriented Programming","Knowledge of basic HTML, CSS, and JavaScript",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Blockchain Developer,nanodegree,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.",intermediate,4 Weeks,4.5,566,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",Object-oriented programming,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Deep Reinforcement Learning,nanodegree,Master the deep reinforcement learning skills that are powering amazing advances in AIâ€”and start applying these skills to applications like video games and robotics.,advanced,3 Weeks,4.6,534,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)","Experience with Python, Probability, Machine Learning, & Deep Learning.",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png 
Computer Vision,nanodegree,"Learn the in-demand skills of computer vision, a growing field of AI, that empower advancements in robotics and automation.",advanced,3 Weeks,4.7,798,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning","Python, Statistics, Machine Learning, & Deep Learning",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Data Structures and Algorithms,nanodegree,Get hands-on practice with over 100 data structures and algorithm exercises with technical mentor support when needed to help prepare you for the workplace.,intermediate,4 Weeks,4.7,850,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Python and Basic Algebra,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Robotics Software Engineer,nanodegree,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, localization, mapping, SLAM, navigation, and path planning.",advanced,4 Weeks,4.5,571,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",Mathematics & Programming,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
AI Product Manager,nanodegree,Develop AI products that deliver real business value by building skills that help you compete in the new AI-powered world.,beginner,2 Weeks,4.4,616,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",No Experience Required,https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Android Kotlin Developer,nanodegree,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",intermediate,4 Weeks,4.7,355,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase",Experience with Object-Oriented Programming,https://www.usf.edu/engineering/cse/images/isabela.jpg
Java Programming,nanodegree,"Elevate your Java abilities with the fundamental skills used by developers to design, code, test, and deploy cutting-edge Java software.",intermediate,3 Weeks,4.5,143,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules","Basic programming concepts like variables, loops and conditionals.",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Cloud DevOps Engineer,nanodegree,Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to master skills like operationalizing infrastructure at scale and delivering applications and services at high velocity.,intermediate,4 Weeks,4.6,846,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Intermediate JavaScript,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Data Architect,nanodegree,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organizationâ€™s data success.",advanced,4 Weeks,4.6,122,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
","Intermediate Python, SQL, and Basics of ETL/Data Pipelines",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Data Analysis and Visualization with Microsoft Power BI,nanodegree,"Utilize Microsoft Power BI as a primary tool for data pre-processing, visualization, and analysis.",beginner,3 Weeks,4.7,256,"Power BI,  data visulations,  data modeling,  Extract-Transform-Load,  Data Analytics Expressions",Microsoft Excel,https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Natural Language Processing,nanodegree,"Learn the job-ready skills that progress computers to be able to understand, process, and respond to human language.",advanced,3 Weeks,4.5,525,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Python, Statistics, Machine Learning, & Deep Learning",https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Intro to Self-Driving Cars,nanodegree,This introductory program is the perfect way to start your journey into the future of transportationâ€”flying cars.,intermediate,4 Weeks,4.6,806,"Computer Vision, Machine Learning, Vehicle Motion, Control",Programming & Mathematics,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Full Stack JavaScript Developer,nanodegree,"Find success as a full stack developer by focusing on topics like UI, UX, APIs, server side business logic, persistence layers, and more.",intermediate,4 Weeks,4.7,89,"Creating an API,  Databases and SQL,  Node.js,  Angular,  TypeScript,  Deployment","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Introduction to Cybersecurity,nanodegree,"Get your start in the high growth field of cybersecurity by building foundational skills including evaluating, maintaining, and monitoring the security of computer systems.",beginner,4 Weeks,4.5,163,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Basic knowledge of network connectivity and OS fundamentals,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Data Streaming,nanodegree,Learn how to stream data to unlock key insights in real-time.,advanced,2 Weeks,4.3,242,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming","Intermediate Python, SQL, and experience with ETL",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Cloud Developer,nanodegree,Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS.,intermediate,4 Weeks,4.5,844,"AWS, Microservices, Serverless Architecture, Kubernetes",Intermediate JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Intro to Machine Learning with TensorFlow,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Weeks,4.7,529,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intermediate Python,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Sensor Fusion Engineer,nanodegree,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to detect and track vehicles and pedestrians over time.",advanced,4 Weeks,4.7,301,"Perception, Lidar, Radar, Sensors, Computer Vision","Intermediate C++, Calculus, and Probability",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Predictive Analytics For Business,nanodegree,"Learn essential AI concepts including search, optimization, planning, pattern recognition, and more from experts like Peter Norvig and Sebastian Thrun.",beginner,3 Weeks,4.7,554,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Algebra, Descriptive Statistics, and Excel",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Intermediate JavaScript,nanodegree,"Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",intermediate,3 Weeks,4.5,161,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",Basic JavaScript,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Agile Software Development,nanodegree,"Get equipped with the skills you need to guide the delivery of high value products with top notch software development teams.
",beginner,3 Weeks,4.7,151,"Agile, Scrum, Kanban, XP, Minimum Viable Product",No Experience Required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Intro to Machine Learning with PyTorch,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Weeks,4.7,446,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intermediate Python,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
AWS Cloud Architect,nanodegree,"Build confidence planning, designing, and creating high availability cloud infrastructure.",advanced,3 Weeks,4.6,277,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Experience with Cloud Computing, Programming, and AWS",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
AI for Business Leaders,nanodegree,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",intermediate,2 Weeks,4.6,124,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Statistics, Probability, and Business Experience",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
AI for Healthcare,nanodegree,Be at the forefront of the AI revolution in healthcare and transform patient outcomes by enabling enhanced medical decision-making powered by machine learning.,advanced,4 Weeks,4.6,145,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Intermediate Python, and Experience with Machine Learning",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
iOS Developer,nanodegree,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",beginner,6 Weeks,4.6,897,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",No prior knowledge required,https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Flying Car and Autonomous Flight Engineer,nanodegree,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",advanced,6 Weeks,4.6,254,"3D Motion Planning, Controls, Estimation, Kalman Filters",Mathematics & Programming,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Artificial Intelligence,nanodegree,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",advanced,3 Weeks,4.5,355,"Constraint Propagation,  AI Algorithms,  Constraint Satisfaction Problems,  Backtracking Search,  Optimization Algorithms,  Search Algorithms,  Minimax Search,  Bayesian networks,  Planning,  Pattern Recognition,  Time-Series Analysis with ML","Algebra, Calculus, Statistics, & Python",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Digital Project Management,nanodegree,"Build confidence translating business requirements into project scope statements, creating project plans, and developing a high-performing team.
",beginner,3 Weeks,NaN,NaN,"Waterfall project management,  Strategic communication plans,  Requirements gathering,  Project scoping,  Project execution,  Gantt charts,  Agile frameworks,  Stakeholder analysis,  SMART goals,  Team development,  Cost-benefit analysis",Professional fluency in English,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Cloud Native Application Architecture,nanodegree,"Learn to run and manage scalable applications in a cloud native environment using open source tools and projects like ArgoCD, gRPC, and Grafana.",intermediate,4 Weeks,4.7,151,"Microservice architecture,  Kubernetes,  Continuous Integration,  Continuous Delivery,  Message Passing,  Observability,  Microservices security","HTTP, Python, Git, Linux, Docker",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Data Visualization,nanodegree,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",beginner,4 Weeks,4.6,206,"Data Visualization, Tableau, Dashboards, Data Storytelling",Basic Data Analysis,https://www.usf.edu/engineering/cse/images/goldgof-photo.jpg
Marketing Analytics,nanodegree,"Learn to collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",beginner,3 Weeks,4.6,359,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation",No Prerequisites,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Cloud Architect using Microsoft Azure,nanodegree,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",advanced,3 Weeks,4.8,94,"Azure Security Center,  Azure Resource Manager,  Azure Pricing Calculator,  Azure Key Vault,  Azure Defender,  Cloud Cost Policies,  Cloud Cost Evaluation,  Automated Cloud Cost Optimization,  Privileged Identity Management,  Identity and Access Management Fundamentals,  Disaster Recovery Plans","Experience with cloud computing, programming and Microsoft Azure",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Ethical Hacker,nanodegree,"Learn how to find and exploit vulnerabilities, design and execute penetration testing plans, and report on test findings.",advanced,2 Weeks,NaN,59,"Vulnerability Management,  Penetration Testing,  Reconnaissance,  Social Engineering,  Open-source intelligence,  System and Application Auditing","Linux, Networking, Programming and Window OS",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
RPA Developer with UiPath,nanodegree,Build the operational processes that enable the businesses of the future.,beginner,4 Weeks,NaN,59,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",Basic familiarity with Microsoft applications and data manipulation,https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Privacy Engineer,nanodegree,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.",intermediate,2 Weeks,NaN,59,"Privacy by Design Framework,  Data Minimization,  Data Encryption,  Sensitive Data Tracking,  Hashing,  Privacy Risk Assessment,  Data Privacy Fundamentals,  Data Anonymization,  k-anonymization,  Data Privacy Regulations,  Tiers of Deletion,  Redaction for Data Minimization,  Regional Privacy Regulations,  Data Lifecycle Management",Python and SQL,https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Machine Learning Engineer for Microsoft Azure,nanodegree,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",intermediate,3 Weeks,4.4,200,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
","Prior experience with Python, Machine Learning, and Statistics",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Data Science for Business Leaders,nanodegree,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",intermediate,2 Weeks,4.4,83,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Statistics, Probability, and Business Experience",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Security Engineer,nanodegree,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organizationâ€™s computer networks and systems from security threats or attacks.,intermediate,4 Weeks,4.7,57,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing","Basics of Python, experience configuring AWS and Linux environments",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Site Reliability Engineer,nanodegree,"Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.",intermediate,4 Weeks,NaN,59,"Cost-Benefit Analysis,  Building SRE Teams,  Observability Best Practices,  Prometheus,  Grafana,  Service Level Indicators,  Terraform,  
Geo-Replication,  Self-Healing System Design,  Microservice Design,  Deployment Rollback,  Deployment Automation,  Cloud Automation,  Deployment Automation,  Incident Post-Mortems,  Incident Management,  Reliability Reviews,  Capacity Management","Python or Java, Bash or Powershell, Linux, UNIX Shell and SQL",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Cloud DevOps using Microsoft Azure,nanodegree,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms across the globe.",intermediate,3 Weeks,4.3,106,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring","Intermediate Python, familiarity with Linux shell scripting and cloud concepts",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Security Analyst,nanodegree,"Learn to identify, correct, and respond to security weaknesses and incidents through open-ended projects that mimic workplace security challenges.",intermediate,4 Weeks,4.6,59,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling","Experience with Python, SQL, and security fundamentals",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Digital Freelancer,nanodegree,The goal of the Digital Freelancer Nanodegree program is to prepare students to enter the digital marketplace by teaching key skills to create a successful digital business. Students will learn freelancing basics and essential skills as well as how to build their personal brand to start a successful online business in the global freelancing marketplace.,beginner,3 Weeks,4.6,59,"Portfolio Websites,  Professional Networking,  Resumes,  Social Media Presence,  Non-Disclosure Agreements,  Service Agreements,  Freelance Pricing Frameworks,  Invoicing,  Brand Design,  Elevator pitches,  Formal Written Communication,  Project management tools,  Project scoping",Basic computer skills,https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Cloud Developer using Microsoft Azure,nanodegree,"Master critical cloud computing skills used to deploy, build, migrate, and monitor applications on Azure.",intermediate,4 Weeks,4.4,65,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration","Intermediate programming experience, familiarity with SQL databases and Git",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Golang,course,"Discover Golangâ€™s implementation of traditional programming features, as well as extra features that make it a powerful tool.",beginner,3 Weeks,4.6,59,"Go programming,  Go language fundamentals,  Go environment,  basic backend,  Goroutines,  web server,  REST API",Basic computer programming,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
